,display_id,ad_id,clicked,uuid,document_id_x,timestamp,platform,geo_location,source_id,publisher_id,publish_time,document_id_y,campaign_id,advertiser_id
0,2,125211,0,79a85fa78311b9,1794259,81,2,US>CA>807,93.0,407.0,2016-06-14 00:00:00,876083,16054,772
1,2,156535,0,79a85fa78311b9,1794259,81,2,US>CA>807,93.0,407.0,2016-06-14 00:00:00,630534,16636,380
2,2,169564,0,79a85fa78311b9,1794259,81,2,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1394819,20109,640
3,37,169564,0,d4f62cdcb39ad8,1779285,2687,2,US>WA>819,93.0,407.0,2016-06-13 17:00:00,1394819,20109,640
4,1743,169564,0,70e5221764a830,1777537,121119,2,US>CA>862,93.0,407.0,2016-06-13 17:00:00,1394819,20109,640
5,2,308455,1,79a85fa78311b9,1794259,81,2,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1712989,245,232
6,98,5292,0,938e21a1f2da78,1794259,7191,1,US>CA>807,93.0,407.0,2016-06-14 00:00:00,358646,715,784
7,580,5292,0,d2af478c3b317a,1786012,43207,1,US>TX>618,50.0,170.0,2016-06-13 20:00:00,358646,715,784
8,98,102724,0,938e21a1f2da78,1794259,7191,1,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1116842,13325,2325
9,408,102724,0,a195f6bb8b633f,1464334,30780,3,US>WA>819,7368.0,148.0,2016-05-19 00:00:00,1116842,13325,2325
10,959,102724,1,9df4e8b468af6c,1077398,68036,3,US>WA>819,7097.0,935.0,2016-01-02 00:00:00,1116842,13325,2325
11,1358,102724,0,24d6622b5f21fc,1792425,94792,3,US>MI>505,1487.0,578.0,2016-06-13 23:00:00,1116842,13325,2325
12,1466,102724,0,133ca934f99447,1794028,101778,1,US>NY>501,8136.0,433.0,2016-06-14 00:00:00,1116842,13325,2325
13,98,127051,1,938e21a1f2da78,1794259,7191,1,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1260980,16274,1813
14,98,127712,0,938e21a1f2da78,1794259,7191,1,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1203918,16349,1438
15,160,127712,0,2af2069815b71a,578820,12139,3,US>MO>609,85.0,118.0,2015-03-27 13:00:00,1203918,16349,1438
16,1322,127712,0,6737cc5168e074,1077294,92620,3,US>OH>535,7097.0,935.0,2016-01-02 00:00:00,1203918,16349,1438
17,665,127712,0,42cdab54971ccf,1065974,48029,3,US>NC>545,6399.0,574.0,2016-01-26 00:00:00,1203918,16349,1438
18,959,127712,0,9df4e8b468af6c,1077398,68036,3,US>WA>819,7097.0,935.0,2016-01-02 00:00:00,1203918,16349,1438
19,1022,127712,0,e1e7a029f482f3,971870,71600,3,US>CO>751,5315.0,1046.0,2015-12-02 14:00:00,1203918,16349,1438
20,98,163664,0,938e21a1f2da78,1794259,7191,1,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1218459,17315,1650
21,664,163664,0,b40f6d16ff7969,1738686,47979,1,US>TX>618,3528.0,170.0,2016-06-12 00:00:00,1218459,17315,1650
